Year,Week_Number,mean_return,volatility,Label
2021,1,-1.3878,2.363138527,Red
2021,2,-0.9466,0.8842733175,Green
2021,3,-0.10625,0.6882511049,Red
2021,4,-0.131,1.542578037,Green
2021,5,0.617,0.641116994,Green
2021,6,0.4176,0.7500691968,Red
2021,7,-0.2825,1.120420903,Green
2021,8,-0.4442,1.313543376,Red
2021,9,0.7282,0.9902515842,Red
2021,10,0.0034,1.379043437,Green
2021,11,0.1816,0.9592185882,Red
2021,12,0.8646,0.6778394353,Green
2021,13,-0.245,1.239738413,Green
2021,14,0.2546,0.4036289137,Green
2021,15,0.1882,0.4513897429,Red
2021,16,0.2934,0.442468417,Green
2021,17,-0.1766,0.9882496142,Red
2021,18,0.1976,0.7283078333,Green
2021,19,0.0838,0.8429799523,Green
2021,20,-0.039,0.5492453914,Green
2021,21,0.2452,0.4552331271,Red
2021,22,0.4275,0.4666515474,Red
2021,23,-0.0272,0.6126831971,Green
2021,24,-0.7128,1.036341498,Red
2021,25,0.2058,0.7145527972,Green
2021,26,-0.0504,0.5002642302,Green
2021,27,0.13075,0.6832819696,Green
2021,28,0.7062,0.9588814838,Green
2021,29,0.2192,0.9748152133,Green
2021,30,0.0082,0.5598465861,Green
2021,31,-0.1346,0.8108386399,Red
2021,32,0.208,0.3072417615,Red
2021,33,-0.2046,0.7926772988,Green
2021,34,-0.351,0.5081648355,Red
2021,35,0.3858,0.4170919563,Red
2021,36,-0.4905,1.357476212,Red
2021,37,-0.2704,1.005143423,Red
2021,38,-0.2024,0.3199387441,Green
2021,39,-0.3196,1.157125015,Green
2021,40,0.4124,0.4715037646,Red
2021,41,0.133,0.3445489806,Green
2021,42,-0.009,0.7441468269,Green
2021,43,0.6986,0.8457731965,Green
2021,44,0.1668,0.3875683166,Red
2021,45,-0.08,0.5178271913,Red
2021,46,-0.5276,0.3408860513,Red
2021,47,-0.629,1.77000565,Green
2021,48,0.0994,1.965549999,Green
2021,49,1.0116,1.469446597,Green
2021,50,0.5192,1.522361225,Green
2021,51,0.2125,0.4458987179,Green
2021,52,0.3388,0.4355418464,Red
2022,1,0.3784,0.8818266837,Red
2022,2,0.3496,0.3323383818,Green
2022,3,-0.3845,0.4018602576,Red
2022,4,0.1334,1.089212697,Green
2022,5,0.0426,0.9040493902,Red
2022,6,-0.2136,1.337563569,Red
2022,7,0.7378,0.7598925582,Red
2022,8,0.14725,2.539304022,Green
2022,9,-0.0878,0.6467056517,Green
2022,10,-1.519,1.833842005,Green
2022,11,0.8996,0.9941922852,Green
2022,12,0.4732,0.6743046048,Green
2022,13,0.4334,0.6523755054,Green
2022,14,0.305,0.6139735336,Red
2022,15,0.46375,0.5135506304,Red
2022,16,0.0766,1.208343411,Green
2022,17,-0.187,1.581206027,Red
2022,18,0.054,1.864695686,Green
2022,19,0.3052,1.033654294,Red
2022,20,-1.4398,3.348067084,Red
2022,21,1.1912,1.254827956,Red
2022,22,-0.6615,1.296952454,Green
2022,23,-0.4976,0.848127231,Green
2022,24,-0.502,1.432349992,Red
2022,25,1.48675,0.6365031422,Red
2022,26,0.428,1.244506328,Red
2022,27,-0.48175,0.964512096,Green
2022,28,-0.203,0.4065464303,Red
2022,29,-0.2866,1.262977553,Red
2022,30,0.8272,0.883455262,Green
2022,31,-0.245,0.7763539785,Red
2022,32,0.103,0.7617502872,Red
2022,33,0.4588,0.6193946238,Green
2022,34,-0.6338,1.253712567,Red
2022,35,-0.6272,0.6806127386,Red
2022,36,0.47825,0.947914685,Red
2022,37,-0.7544,1.574360124,Red
2022,38,-0.3158,0.7227213848,Green
2022,39,-0.8898,1.305727843,Green
2022,40,-0.5386,1.25417734,Green
2022,41,0.1774,1.191156707,Red
2022,42,0.3626,1.464080701,Green
2022,43,1.6644,1.123851547,Green
2022,44,-0.495,0.9682244058,Green
2022,45,0.6986,1.80940855,Red
2022,46,-0.0572,0.6262848394,Red
2022,47,0.62925,0.6267877764,Red
2022,48,0.6714,1.13208891,Green
2022,49,-0.3764,0.7863423555,Red
2022,50,-0.1198,0.9841177267,Red
2022,51,0.3418,0.8840247168,Green
2022,52,-0.08,0.8128874461,Red
